Theta 24.900000| s'x 11.571041 | s'y -5.071041 | t'xy 8.942317 
Theta 25.000000| s'x 11.555547 | s'y -5.055547 | t'xy 8.952645 
Theta 25.100000| s'x 11.539952 | s'y -5.039952 | t'xy 8.962865 
Theta 25.200001| s'x 11.524257 | s'y -5.024256 | t'xy 8.972975 
Theta 25.300001| s'x 11.508459 | s'y -5.008460 | t'xy 8.982976 
Theta 25.400000| s'x 11.492562 | s'y -4.992562 | t'xy 8.992867 
Theta 25.500000| s'x 11.476564 | s'y -4.976564 | t'xy 9.002648 
Theta 25.600000| s'x 11.460466 | s'y -4.960466 | t'xy 9.012321 
Theta 25.700001| s'x 11.444268 | s'y -4.944268 | t'xy 9.021883 
Theta 25.800001| s'x 11.427970 | s'y -4.927970 | t'xy 9.031335 
Theta 25.900000| s'x 11.411572 | s'y -4.911573 | t'xy 9.040677 
Theta 26.000000| s'x 11.395076 | s'y -4.895076 | t'xy 9.049910 
Theta 26.100000| s'x 11.378479 | s'y -4.878479 | t'xy 9.059031 
Theta 26.200001| s'x 11.361784 | s'y -4.861784 | t'xy 9.068043 
Theta 26.300001| s'x 11.344990 | s'y -4.844989 | t'xy 9.076943 
Theta 26.400000| s'x 11.328097 | s'y -4.828097 | t'xy 9.085733 
Theta 26.500000| s'x 11.311106 | s'y -4.811106 | t'xy 9.094414 
Theta 26.600000| s'x 11.294016 | s'y -4.794016 | t'xy 9.102983 
Theta 26.700001| s'x 11.276829 | s'y -4.776829 | t'xy 9.111440 
Theta 26.800001| s'x 11.259543 | s'y -4.759543 | t'xy 9.119787 
Theta 26.900000| s'x 11.242161 | s'y -4.742161 | t'xy 9.128022 
Theta 27.000000| s'x 11.224680 | s'y -4.724680 | t'xy 9.136147 
Theta 27.100000| s'x 11.207103 | s'y -4.707103 | t'xy 9.144160 
Theta 27.200001| s'x 11.189428 | s'y -4.689428 | t'xy 9.152062 
Theta 27.300001| s'x 11.171658 | s'y -4.671657 | t'xy 9.159852 
Theta 27.400000| s'x 11.153790 | s'y -4.653790 | t'xy 9.167531 
Theta 27.500000| s'x 11.135826 | s'y -4.635826 | t'xy 9.175097 
Theta 27.600000| s'x 11.117765 | s'y -4.617766 | t'xy 9.182553 
Theta 27.700001| s'x 11.099609 | s'y -4.599610 | t'xy 9.189897 
Theta 27.800001| s'x 11.081359 | s'y -4.581358 | t'xy 9.197127 
Theta 27.900000| s'x 11.063012 | s'y -4.563012 | t'xy 9.204247 
Theta 28.000000| s'x 11.044569 | s'y -4.544569 | t'xy 9.211254 
Theta 28.100000| s'x 11.026032 | s'y -4.526032 | t'xy 9.218149 
Theta 28.200001| s'x 11.007401 | s'y -4.507401 | t'xy 9.224932 
Theta 28.300001| s'x 10.988674 | s'y -4.488674 | t'xy 9.231602 
Theta 28.400000| s'x 10.969853 | s'y -4.469853 | t'xy 9.238159 
Theta 28.500000| s'x 10.950938 | s'y -4.450938 | t'xy 9.244604 
Theta 28.600000| s'x 10.931930 | s'y -4.431930 | t'xy 9.250937 
Theta 28.700001| s'x 10.912827 | s'y -4.412827 | t'xy 9.257156 
Theta 28.800001| s'x 10.893632 | s'y -4.393632 | t'xy 9.263263 
Theta 28.900000| s'x 10.874344 | s'y -4.374344 | t'xy 9.269258 
Theta 29.000000| s'x 10.854962 | s'y -4.354962 | t'xy 9.275138 
Theta 29.100000| s'x 10.835487 | s'y -4.335487 | t'xy 9.280907 
Theta 29.200001| s'x 10.815921 | s'y -4.315921 | t'xy 9.286561 
Theta 29.300001| s'x 10.796262 | s'y -4.296262 | t'xy 9.292104 
Theta 29.400000| s'x 10.776511 | s'y -4.276511 | t'xy 9.297532 
Theta 29.500000| s'x 10.756669 | s'y -4.256669 | t'xy 9.302847 
Theta 29.600000| s'x 10.736734 | s'y -4.236734 | t'xy 9.308049 
Theta 29.700001| s'x 10.716709 | s'y -4.216709 | t'xy 9.313138 
